IGRP,PLANT,RFURB,RYR,ECP,SUMCAP,WINCAP,FUELTYPE,COOLTECH,UNITTECH,WATERSOURCE,FUELREG,HUC8,HUC8_QGIS,LAT,LON
5347,7782,2000,999912,ET,29,32,NG,NA,CT,Surface,4,05090203_OH,05080002_OH,-84.518,39.353
5348,7783,2000,999912,ET,29,32,NG,NA,CT,Surface,4,04100010_OH,04100010_OH,-83.64,41.388
5349,7784,1994,999912,EC,59,62,NG,RC,CC,Surface,2,04130002_NY,04130002_NY,-78.068,42.503
5350,7789,1989,999912,HY,16.8,16.8,HY,NA,HY,Surface,21,13020102_NM,13020102_NM,-106.229,36.142
5351,7790,1986,999912,B3,458,458,CL,RC,ST,Surface,20,14050007_UT,14050007_UT,-109.284,40.086
5353,7791,2000,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,04100003_OH,04100003_OH,-84.579,41.585
5355,7791,2000,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,04100003_OH,04100003_OH,-84.579,41.585
5357,7791,2000,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,04100003_OH,04100003_OH,-84.579,41.585
5359,7791,2000,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,04100003_OH,04100003_OH,-84.579,41.585
5361,7791,2000,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,04100003_OH,04100003_OH,-84.579,41.585
5363,7791,2000,999912,ET,1.801,1.801,OL,NA,CT,Surface,4,04100003_OH,04100003_OH,-84.579,41.585
5365,7795,1999,999912,ET,22,24,NG,NA,CT,Surface,5,04030101_WI,04030101_WI,-87.717,44.083
5366,7797,1997,999912,ET,17.9,17.9,OL,NA,CT,Surface,12,02070010_VA,02070010_VA,-77.477,38.753
5367,7798,1996,999912,ET,3.4,3.4,OL,NA,CT,Surface,12,02070010_VA,02070010_VA,-77.51,38.725
5368,7799,2000,999912,ET,74.4,74.4,NG,NA,CT,Surface,5,04030105_WI,04030105_WI,-87.689,45.087
5369,7805,2001,999912,ET,661,737,NN,NA,NN,Unknown,12,03040201_NC,03040201_NC,-79.741,34.839
5370,7805,2011,999912,EC,670,774,NG,NA,CT,Groundwater,12,03040201_NC,03040201_NC,-79.741,34.839
5371,7805,2002,999912,ET,159,187,NG,NA,CT,Groundwater,12,03040201_NC,03040201_NC,-79.741,34.839
5372,7805,2011,999912,EC,182,214,NG,NA,CT,Groundwater,12,03040201_NC,03040201_NC,-79.741,34.839
5373,7805,2011,999912,EC,250,246,NG,NA,CT,Groundwater,12,03040201_NC,03040201_NC,-79.741,34.839
5374,7806,1969,999912,ET,2,2.2,NG,NA,CT,Groundwater,5,04080103_MI,04080103_MI,-83.437,43.729
5375,7806,1988,999912,ET,2,2.2,OL,NA,CT,Groundwater,5,04080103_MI,04080103_MI,-83.437,43.729
5376,7806,1996,999912,ET,2.4,2.6,NG,NA,CT,Groundwater,5,04080103_MI,04080103_MI,-83.437,43.729
